snapshot_id,snapshot_date,product_id,plant_id,stock_qty,reorder_level
1,2025-01-01,1,1,124,30
2,2025-01-01,2,1,144,46
3,2025-01-01,3,1,158,46
4,2025-01-01,4,1,61,60
5,2025-01-01,5,1,116,38
6,2025-01-01,6,1,106,50
7,2025-01-01,7,1,37,33
8,2025-01-01,8,1,92,50
9,2025-01-01,9,1,121,52
10,2025-01-01,10,1,94,31
11,2025-01-01,11,1,34,52
12,2025-01-01,12,1,136,53
13,2025-01-01,13,1,155,35
14,2025-01-01,14,1,67,20
15,2025-01-01,15,1,22,20
16,2025-01-01,16,1,62,43
17,2025-01-01,17,1,151,57
18,2025-01-01,18,1,151,47
19,2025-01-01,19,1,5,24
20,2025-01-01,20,1,44,29
21,2025-01-01,21,1,137,34
22,2025-01-01,22,1,152,34
23,2025-01-01,23,1,24,22
24,2025-01-01,24,1,105,47
25,2025-01-01,1,2,50,30
26,2025-01-01,2,2,116,46
27,2025-01-01,3,2,139,46
28,2025-01-01,4,2,56,60
29,2025-01-01,5,2,89,38
30,2025-01-01,6,2,112,50
31,2025-01-01,7,2,52,33
32,2025-01-01,8,2,73,50
33,2025-01-01,9,2,137,52
34,2025-01-01,10,2,35,31
35,2025-01-01,11,2,57,52
36,2025-01-01,12,2,163,53
37,2025-01-01,13,2,139,35
38,2025-01-01,14,2,50,20
39,2025-01-01,15,2,29,20
40,2025-01-01,16,2,142,43
41,2025-01-01,17,2,82,57
42,2025-01-01,18,2,73,47
43,2025-01-01,19,2,37,24
44,2025-01-01,20,2,122,29
45,2025-01-01,21,2,43,34
46,2025-01-01,22,2,49,34
47,2025-01-01,23,2,93,22
48,2025-01-01,24,2,107,47
49,2025-01-01,1,3,101,30
50,2025-01-01,2,3,151,46
51,2025-01-01,3,3,95,46
52,2025-01-01,4,3,47,60
53,2025-01-01,5,3,81,38
54,2025-01-01,6,3,168,50
55,2025-01-01,7,3,51,33
56,2025-01-01,8,3,163,50
57,2025-01-01,9,3,120,52
58,2025-01-01,10,3,83,31
59,2025-01-01,11,3,45,52
60,2025-01-01,12,3,99,53
61,2025-01-01,13,3,92,35
62,2025-01-01,14,3,84,20
63,2025-01-01,15,3,69,20
64,2025-01-01,16,3,83,43
65,2025-01-01,17,3,119,57
66,2025-01-01,18,3,96,47
67,2025-01-01,19,3,17,24
68,2025-01-01,20,3,32,29
69,2025-01-01,21,3,140,34
70,2025-01-01,22,3,45,34
71,2025-01-01,23,3,42,22
72,2025-01-01,24,3,138,47
73,2025-02-01,1,1,121,30
74,2025-02-01,2,1,109,46
75,2025-02-01,3,1,46,46
76,2025-02-01,4,1,66,60
77,2025-02-01,5,1,46,38
78,2025-02-01,6,1,120,50
79,2025-02-01,7,1,109,33
80,2025-02-01,8,1,145,50
81,2025-02-01,9,1,118,52
82,2025-02-01,10,1,59,31
83,2025-02-01,11,1,63,52
84,2025-02-01,12,1,130,53
85,2025-02-01,13,1,75,35
86,2025-02-01,14,1,91,20
87,2025-02-01,15,1,99,20
88,2025-02-01,16,1,57,43
89,2025-02-01,17,1,80,57
90,2025-02-01,18,1,132,47
91,2025-02-01,19,1,10,24
92,2025-02-01,20,1,109,29
93,2025-02-01,21,1,78,34
94,2025-02-01,22,1,140,34
95,2025-02-01,23,1,140,22
96,2025-02-01,24,1,89,47
97,2025-02-01,1,2,74,30
98,2025-02-01,2,2,143,46
99,2025-02-01,3,2,122,46
100,2025-02-01,4,2,54,60
101,2025-02-01,5,2,69,38
102,2025-02-01,6,2,63,50
103,2025-02-01,7,2,54,33
104,2025-02-01,8,2,58,50
105,2025-02-01,9,2,170,52
106,2025-02-01,10,2,135,31
107,2025-02-01,11,2,38,52
108,2025-02-01,12,2,152,53
109,2025-02-01,13,2,89,35
110,2025-02-01,14,2,67,20
111,2025-02-01,15,2,40,20
112,2025-02-01,16,2,130,43
113,2025-02-01,17,2,61,57
114,2025-02-01,18,2,133,47
115,2025-02-01,19,2,33,24
116,2025-02-01,20,2,144,29
117,2025-02-01,21,2,118,34
118,2025-02-01,22,2,64,34
119,2025-02-01,23,2,74,22
120,2025-02-01,24,2,164,47
121,2025-02-01,1,3,50,30
122,2025-02-01,2,3,140,46
123,2025-02-01,3,3,121,46
124,2025-02-01,4,3,35,60
125,2025-02-01,5,3,151,38
126,2025-02-01,6,3,94,50
127,2025-02-01,7,3,95,33
128,2025-02-01,8,3,114,50
